,model_name,filename,actual_label,consensus_label,ai_votes,real_votes,total_runs,correct,score_example,analysis_example
13,InternVL 2.5 8B,HADR_AIM_NIGHT_FIRE_01.jpg,AI Generated,Real,0,5,5,false,0,"### Analysis of the Image:

1. **Semantic Coherence:**
   - The image depicts a dramatic fire scene ..."
14,InternVL 2.5 8B,HADR_AIM_NIGHT_FLOOD_01.jpg,AI Generated,Real,1,4,5,false,0,"I'm unable to assess or determine the authenticity of media directly. However, I can give you some g..."
15,InternVL 2.5 8B,HADR_AIM_NIGHT_STORM_01.jpg,AI Generated,Real,1,4,5,false,0,"This image appears to be AI-generated. Here are the reasons for my assessment:

1. **Semantic Cohere..."
16,InternVL 2.5 8B,HADR_REAL_DAY_EARTHQUAKE_01.jpg,Real,Real,0,5,5,true,0,"I'm unable to determine if the media is real, manipulated, or AI-generated...."
17,InternVL 2.5 8B,HADR_REAL_DAY_FIRE_01.jpg,Real,Real,0,5,5,true,0,"The image depicts a forest fire, showing intense flames and trees in the foreground with smoke risin..."
18,InternVL 2.5 8B,HADR_REAL_DAY_FLOOD_01.jpg,Real,Real,1,4,5,true,9,"**Assessment:**

To determine whether the image is real, manipulated, or AI-generated, we need to ev..."
19,InternVL 2.5 8B,HADR_REAL_DAY_STORM_01.jpg,Real,Real,1,4,5,true,8,"Evaluating the image provided, here are the steps and reasoning to assess its likelihood of being re..."
20,InternVL 2.5 8B,HADR_REAL_NIGHT_EARTHQUAKE_01.jpg,Real,Real,0,5,5,true,0,"I'm unable to analyze or verify images directly, but I can help guide you on how to assess them your..."
21,InternVL 2.5 8B,HADR_REAL_NIGHT_FIRE_01.jpg,Real,Real,0,5,5,true,0,"The image shows a building engulfed in flames at night, with visible smoke and fire. The lighting, t..."
22,InternVL 2.5 8B,HADR_REAL_NIGHT_FLOOD_01.jpg,Real,Real,0,5,5,true,0,This image appears to depict two people cleaning a flooded street at night. The scene shows realisti...
23,InternVL 2.5 8B,HADR_REAL_NIGHT_STORM_01.jpg,Real,Real,0,5,5,true,0,"The image shows a nighttime scene with heavy rain and a gas station in the background, illuminated b..."
24,InternVL 2.5 8B,MilitaryConflict_AIG_DAY_AIRSTRIKE_01.jpg,AI Generated,Real,1,4,5,false,0,The image depicts a scene of destruction with a large explosion in an urban area. Here is the analys...
25,InternVL 2.5 8B,MilitaryConflict_AIG_DAY_CONVOY_01.jpg,AI Generated,Real,2,3,5,false,0,"To assess whether the image is real, manipulated, or AI-generated, let's examine several factors:

1..."
26,InternVL 2.5 8B,MilitaryConflict_AIG_DAY_GROUNDBATTLE_01.jpg,AI Generated,Real,0,5,5,false,0,"I'll analyze the image to assess its likelihood of being real, manipulated, or AI-generated.

### Se..."
27,InternVL 2.5 8B,MilitaryConflict_AIG_DAY_URBANDAMAGE_01.jpg,AI Generated,Real,0,5,5,false,0,This image appears to be real. The scene is coherent and has natural lighting and textures. There do...
28,InternVL 2.5 8B,MilitaryConflict_AIG_NIGHT_AIRSTRIKE_01.jpg,AI Generated,Real,0,5,5,false,0,"This image appears to depict a dramatic explosion, with a large plume of smoke rising and a bright e..."
29,InternVL 2.5 8B,MilitaryConflict_AIG_NIGHT_CONVOY_01.jpg,AI Generated,Real,1,4,5,false,10,"Let's analyze the image step-by-step to determine whether it is more likely to be real, manipulated,..."
30,InternVL 2.5 8B,MilitaryConflict_AIG_NIGHT_GROUNDBATTLE_01.jpg,AI Generated,Real,1,4,5,false,0,"The image depicts a scene of soldiers in combat, with fire and explosions visible. The visual elemen..."
31,InternVL 2.5 8B,MilitaryConflict_AIG_NIGHT_URBANDAMAGE_01.jpg,AI Generated,Real,0,5,5,false,0,"### Analysis and Reasoning:

#### 1. **Semantic Coherence**
   - **Description**: The image depicts ..."
32,InternVL 2.5 8B,MilitaryConflict_AIM_DAY_AIRSTRIKE_01.jpg,AI Generated,Real,0,5,5,false,0,"The image depicts a large explosion in a cityscape, with visible destruction of buildings and a mass..."
33,InternVL 2.5 8B,MilitaryConflict_AIM_DAY_CONVOY_01.jpg,AI Generated,Real,0,5,5,false,0,The image shows a large protest with many trucks and people holding Canadian flags. The scene appear...
34,InternVL 2.5 8B,MilitaryConflict_AIM_DAY_GROUNDBATTLE_01.jpg,AI Generated,Real,1,4,5,false,0,The media showcases a scene of soldiers in combat gear engaging in what appears to be a battle situa...
35,InternVL 2.5 8B,MilitaryConflict_AIM_DAY_URBANDAMAGE_01.jpg,AI Generated,Real,1,4,5,false,0,"The image appears to show a scene of destruction with people and debris in the foreground, and colla..."
36,InternVL 2.5 8B,MilitaryConflict_AIM_NIGHT_AIRSTRIKE_01.jpg,AI Generated,Real,0,5,5,false,0,"To determine whether the image is real, manipulated, or AI-generated, let’s analyze it based on the ..."
37,InternVL 2.5 8B,MilitaryConflict_AIM_NIGHT_CONVOY_01.jpg,AI Generated,Real,0,5,5,false,0,"To assess the media, let's analyze it step-by-step according to the given factors:

### 1. Semantic ..."
38,InternVL 2.5 8B,MilitaryConflict_AIM_NIGHT_GROUNDBATTLE_01.jpg,AI Generated,Real,2,3,5,false,0,"The image depicts a scene of soldiers in a night-time setting, firing weapons, with visible muzzle f..."
39,InternVL 2.5 8B,MilitaryConflict_AIM_NIGHT_URBANDAMAGE_01.jpg,AI Generated,Real,0,5,5,false,0,"This image appears to be real. Here's the reasoning:

1. **Semantic Coherence**: The scene is a dram..."
40,InternVL 2.5 8B,MilitaryConflict_REAL_DAY_AIRSTRIKE_01.jpg,Real,Real,1,4,5,true,0,"This image depicts a large explosion in an urban setting, with visible smoke and debris rising into ..."
41,InternVL 2.5 8B,MilitaryConflict_REAL_DAY_CONVOY_01.jpg,Real,Real,1,4,5,true,0,"I'm unable to definitively determine if this image is real or AI-generated. However, it appears to h..."
42,InternVL 2.5 8B,MilitaryConflict_REAL_DAY_GROUNDBATTLE_01.jpg,Real,Real,1,4,5,true,0,"To assess the media and estimate whether it is more likely to be real, manipulated, or AI-generated,..."
43,InternVL 2.5 8B,MilitaryConflict_REAL_DAY_URBANDAMAGE_01.jpg,Real,Real,0,5,5,true,0,"The image depicts a scene of destruction with a partially collapsed building, debris, and two indivi..."
44,InternVL 2.5 8B,MilitaryConflict_REAL_NIGHT_AIRSTRIKE_01.jpg,Real,Real,1,4,5,true,0,"The image depicts a nighttime explosion with a bright fireball and scattered embers or debris, set a..."
45,InternVL 2.5 8B,MilitaryConflict_REAL_NIGHT_CONVOY_01.jpg,Real,Real,0,5,5,true,0,"To assess whether the image is more likely to be real, manipulated, or AI-generated, let's break dow..."
46,InternVL 2.5 8B,MilitaryConflict_REAL_NIGHT_GROUNDBATTLE_01.jpg,Real,Real,0,5,5,true,0,"I'm unable to assess the authenticity of images or videos directly. However, I can provide you with ..."
47,InternVL 2.5 8B,MilitaryConflict_REAL_NIGHT_URBANDAMAGE_01.jpg,Real,Real,1,4,5,true,0,The image shows a collapsed building with emergency services at the scene. The scene appears to be a...
48,InternVL 2.5 8B,MilitaryShowcase_AIG_DAY_LIVEFIRE_01.jpg,AI Generated,Real,0,5,5,false,0,The image depicts a missile being launched from a military vehicle in a desert environment. Let's an...
49,InternVL 2.5 8B,MilitaryShowcase_AIG_DAY_MARCHING_01.jpg,AI Generated,Real,0,5,5,false,0,The image shows a large group of soldiers in uniform marching in formation in what appears to be a p...
50,InternVL 2.5 8B,MilitaryShowcase_AIG_DAY_NAVIGATION_01.jpg,AI Generated,Real,1,4,5,false,0,"The image appears to be a real photograph, likely depicting military personnel in a field setting. H..."
51,InternVL 2.5 8B,MilitaryShowcase_AIG_DAY_PARADE_01.jpg,AI Generated,Real,0,5,5,false,0,"**Analysis:**

1. **Semantic Coherence:**
   - The image displays a large-scale military parade with..."
52,InternVL 2.5 8B,MilitaryShowcase_AIG_NIGHT_LIVEFIRE_01.jpg,AI Generated,Real,0,5,5,false,0,"This image appears to show a missile launch at night, with a vehicle and plume of smoke visible. The..."
53,InternVL 2.5 8B,MilitaryShowcase_AIG_NIGHT_MARCHING_01.jpg,AI Generated,Real,0,5,5,false,0,The image shows a group of uniformed individuals marching in front of a building with a flag. The sc...
54,InternVL 2.5 8B,MilitaryShowcase_AIG_NIGHT_NAVIGATION_01.jpg,AI Generated,Real,0,5,5,false,0,"The image appears to be highly realistic, but there are a few factors that lead me to lean towards i..."
55,InternVL 2.5 8B,MilitaryShowcase_AIG_NIGHT_PARADE_01.jpg,AI Generated,Real,0,5,5,false,0,"To assess whether this media is more likely to be real, manipulated, or AI-generated, let's carefull..."
56,InternVL 2.5 8B,MilitaryShowcase_AIM_DAY_LIVEFIRE_01.jpg,AI Generated,Real,0,5,5,false,0,"I cannot evaluate the veracity of the image or its potential as AI-generated content. For this task,..."
57,InternVL 2.5 8B,MilitaryShowcase_AIM_DAY_MARCHING_01.jpg,AI Generated,Real,1,4,5,false,9,"### Analysis of the Image

#### Semantic Coherence
- The image depicts a group of soldiers in format..."
58,InternVL 2.5 8B,MilitaryShowcase_AIM_DAY_NAVIGATION_01.jpg,AI Generated,Real,1,4,5,false,0,This image appears to be a photograph of military personnel in a training or operational setting. Th...
59,InternVL 2.5 8B,MilitaryShowcase_AIM_DAY_PARADE_01.jpg,AI Generated,Real,2,3,5,false,0,"The image appears to be a real photograph based on several observations:

1. **Semantic Coherence**:..."
60,InternVL 2.5 8B,MilitaryShowcase_AIM_NIGHT_LIVEFIRE_01.jpg,AI Generated,Real,1,4,5,false,0,"### Analysis of Image 

#### Step-by-Step Analysis:

1. **Semantic Coherence:**
   - **Analysis:** T..."
61,InternVL 2.5 8B,MilitaryShowcase_AIM_NIGHT_MARCHING_01.jpg,AI Generated,Real,2,3,5,false,9,"This image depicts a group of uniformed individuals marching in formation, likely at a formal event ..."
62,InternVL 2.5 8B,MilitaryShowcase_AIM_NIGHT_NAVIGATION_01.jpg,AI Generated,Real,0,5,5,false,0,"The image appears to be more likely real with a confidence level of high. Here's the reasoning:

1. ..."
63,InternVL 2.5 8B,MilitaryShowcase_AIM_NIGHT_PARADE_01.jpg,AI Generated,Real,0,5,5,false,0,"The image appears to be a manipulated or AI-generated scene. Here's why:

1. **Semantic Coherence**:..."
64,InternVL 2.5 8B,MilitaryShowcase_REAL_DAY_LIVEFIRE_01.jpg,Real,Real,0,5,5,true,0,"### Analysis

#### Observations:

1. **Semantic Coherence:**
   - The image depicts a military scene..."
65,InternVL 2.5 8B,MilitaryShowcase_REAL_DAY_MARCHING_01.jpg,Real,Real,0,5,5,true,0,The image appears to depict a group of military personnel in uniform marching in formation. Here's t...
66,InternVL 2.5 8B,MilitaryShowcase_REAL_DAY_NAVIGATION_01.jpg,Real,Real,1,4,5,true,0,"This image appears to be a photograph rather than an AI-generated or manipulated one. 

**Assessment..."
67,InternVL 2.5 8B,MilitaryShowcase_REAL_DAY_PARADE_01.jpg,Real,Real,1,4,5,true,0,"This image appears to be a staged event or a military parade. The factors you mentioned are:

1. **S..."
68,InternVL 2.5 8B,MilitaryShowcase_REAL_NIGHT_LIVEFIRE_01.jpg,Real,Real,0,5,5,true,0,This image appears to be a real photograph rather than manipulated or AI-generated. Here's the reaso...
69,InternVL 2.5 8B,MilitaryShowcase_REAL_NIGHT_MARCHING_01.jpg,Real,Real,0,5,5,true,0,"### Analysis of the Image

**1. Semantic Coherence:**
- The image depicts a group of uniformed perso..."
70,InternVL 2.5 8B,MilitaryShowcase_REAL_NIGHT_NAVIGATION_01.jpg,Real,Real,2,3,5,true,9,I analyze the image provided to determine its authenticity. Here is my reasoning for assessing its l...
71,InternVL 2.5 8B,MilitaryShowcase_REAL_NIGHT_PARADE_01.jpg,Real,Real,0,5,5,true,0,"### Analysis of the Given Image

#### 1. Semantic Coherence:
- **Event Context**: The image depicts ..."
72,InternVL 3.5 8B,HADR_AIG_DAY_EARTHQUAKE_01.jpg,AI Generated,Real,1,4,5,false,3,"Upon analyzing the image provided, several factors should be considered:

### Semantic Coherence
The..."
73,InternVL 3.5 8B,HADR_AIG_DAY_FIRE_01.jpg,AI Generated,Real,1,4,5,false,2,"To assess the media and estimate whether it is more likely to be real, manipulated, or AI-generated,..."
74,InternVL 3.5 8B,HADR_AIG_DAY_FLOOD_01.jpg,AI Generated,Real,1,4,5,false,6,"To assess the image, let's examine it based on several factors:

1. **Semantic Coherence**:
   - The..."
75,InternVL 3.5 8B,HADR_AIG_DAY_STORM_01.jpg,AI Generated,Real,1,4,5,false,3,"To assess the media and determine its authenticity, I will analyze several key factors:

1. **Semant..."
76,InternVL 3.5 8B,HADR_AIG_NIGHT_EARTHQUAKE_01.jpg,AI Generated,Real,2,3,5,false,4,"### Analysis:

#### Semantic Coherence:
The scene depicts a street market at night with visible stal..."
77,InternVL 3.5 8B,HADR_AIG_NIGHT_FIRE_01.jpg,AI Generated,Real,2,3,5,false,7,"### Analysis

#### Semantic Coherence
The scene depicts firefighters combating a large fire in a bui..."
78,InternVL 3.5 8B,HADR_AIG_NIGHT_FLOOD_01.jpg,AI Generated,Real,2,3,5,false,3,"To assess the image, let's examine each factor:

1. **Semantic Coherence**: The scene depicts a grou..."
79,InternVL 3.5 8B,HADR_AIG_NIGHT_STORM_01.jpg,AI Generated,Real,2,3,5,false,3,"To assess the media and determine whether it is more likely real, manipulated, or AI-generated, we'l..."
80,InternVL 3.5 8B,HADR_AIM_DAY_EARTHQUAKE_01.jpg,AI Generated,Real,1,4,5,false,2,"To assess whether the image is real, manipulated, or AI-generated, let's examine several factors:

1..."
81,InternVL 3.5 8B,HADR_AIM_DAY_FIRE_01.jpg,AI Generated,AI Generated,3,2,5,true,3,"To assess the given image for authenticity and determine whether it is more likely to be real, manip..."
82,InternVL 3.5 8B,HADR_AIM_DAY_FLOOD_01.jpg,AI Generated,Real,0,5,5,false,1,"To assess the authenticity of this image, let's examine several key factors:

1. **Semantic Coherenc..."
83,InternVL 3.5 8B,HADR_AIM_DAY_STORM_01.jpg,AI Generated,Real,0,5,5,false,2,"Upon examining the provided image, several factors come into play when determining whether it is rea..."
84,InternVL 3.5 8B,HADR_AIM_NIGHT_EARTHQUAKE_01.jpg,AI Generated,Real,1,4,5,false,3,"To assess the media for authenticity, let's analyze it based on the specified factors:

### Semantic..."
85,InternVL 3.5 8B,HADR_AIM_NIGHT_FIRE_01.jpg,AI Generated,Real,0,5,5,false,2,"To assess the likelihood that this media is real, manipulated, or AI-generated, we will analyze seve..."
86,InternVL 3.5 8B,HADR_AIM_NIGHT_FLOOD_01.jpg,AI Generated,Real,2,3,5,false,4,To assess this image for authenticity and determine whether it is real or likely manipulated/ AI-gen...
87,InternVL 3.5 8B,HADR_AIM_NIGHT_STORM_01.jpg,AI Generated,AI Generated,4,1,5,true,7,"### Analysis

#### Semantic Coherence
The image depicts a nighttime scene with two silhouettes walki..."
88,InternVL 3.5 8B,HADR_REAL_DAY_EARTHQUAKE_01.jpg,Real,Real,1,4,5,true,3,"To assess the media and estimate whether it is more likely to be real, manipulated, or AI-generated,..."
89,InternVL 3.5 8B,HADR_REAL_DAY_FIRE_01.jpg,Real,AI Generated,3,2,5,false,7,"To assess the image for authenticity and determine if it is more likely real, manipulated, or AI-gen..."
90,InternVL 3.5 8B,HADR_REAL_DAY_FLOOD_01.jpg,Real,Real,0,5,5,true,0,"Upon examining the image, I'll analyze several factors to determine its authenticity:

### Semantic ..."
91,InternVL 3.5 8B,HADR_REAL_DAY_STORM_01.jpg,Real,Real,0,5,5,true,4,"To determine whether the provided media is more likely to be real, manipulated, or AI-generated, let..."
92,InternVL 3.5 8B,HADR_REAL_NIGHT_EARTHQUAKE_01.jpg,Real,AI Generated,5,0,5,false,5,"### Analysis

#### Semantic Coherence
The scene depicted shows a street at night with significant de..."
93,InternVL 3.5 8B,HADR_REAL_NIGHT_FIRE_01.jpg,Real,Real,0,5,5,true,2,"To assess the media and determine if it is more likely to be real, manipulated, or AI-generated, let..."
94,InternVL 3.5 8B,HADR_REAL_NIGHT_FLOOD_01.jpg,Real,Real,2,3,5,true,0,"To assess the likelihood that this image is real, manipulated, or AI-generated, let's analyze it bas..."
95,InternVL 3.5 8B,HADR_REAL_NIGHT_STORM_01.jpg,Real,Real,1,4,5,true,3,"### Analysis

#### Semantic Coherence
The scene depicts a nighttime parking lot with heavy fog, illu..."
96,InternVL 3.5 8B,MilitaryConflict_AIG_DAY_AIRSTRIKE_01.jpg,AI Generated,AI Generated,3,2,5,true,8,"To assess this media, let's analyze the image based on several factors:

### Semantic Coherence
The ..."
97,InternVL 3.5 8B,MilitaryConflict_AIG_DAY_CONVOY_01.jpg,AI Generated,Real,0,5,5,false,2,"### Analysis

#### Semantic Coherence
The scene depicts a military convoy moving down a street lined..."
98,InternVL 3.5 8B,MilitaryConflict_AIG_DAY_GROUNDBATTLE_01.jpg,AI Generated,AI Generated,3,2,5,true,7,"To assess the likelihood that this image is real or AI-generated, let's examine several factors:

1...."
99,InternVL 3.5 8B,MilitaryConflict_AIG_DAY_URBANDAMAGE_01.jpg,AI Generated,Real,0,5,5,false,2,"To determine if the image is more likely to be real, manipulated, or AI-generated, let's analyze sev..."
100,InternVL 3.5 8B,MilitaryConflict_AIG_NIGHT_AIRSTRIKE_01.jpg,AI Generated,AI Generated,3,2,5,true,3,"To assess the image provided:

1. **Semantic Coherence**: The scene depicts a city at night with an ..."
101,InternVL 3.5 8B,MilitaryConflict_AIG_NIGHT_CONVOY_01.jpg,AI Generated,Real,0,5,5,false,2,"To assess the image, let's examine various factors:

1. **Semantic Coherence**: The scene depicts a ..."
102,InternVL 3.5 8B,MilitaryConflict_AIG_NIGHT_GROUNDBATTLE_01.jpg,AI Generated,AI Generated,3,2,5,true,5,"### Analysis

#### Semantic Coherence
The scene depicts a nighttime battle scenario with soldiers en..."
103,InternVL 3.5 8B,MilitaryConflict_AIG_NIGHT_URBANDAMAGE_01.jpg,AI Generated,AI Generated,5,0,5,true,8,"Upon analyzing the image, several factors indicate that it could be AI-generated:

1. **Semantic Coh..."
104,InternVL 3.5 8B,MilitaryConflict_AIM_DAY_AIRSTRIKE_01.jpg,AI Generated,AI Generated,3,2,5,true,3,"To assess the image provided, let's analyze it step-by-step.

### Semantic Coherence

The scene depi..."
105,InternVL 3.5 8B,MilitaryConflict_AIM_DAY_CONVOY_01.jpg,AI Generated,AI Generated,3,2,5,true,7,"Analyzing the provided image:

1. **Semantic Coherence**: The scene depicts a large parade with mult..."
106,InternVL 3.5 8B,MilitaryConflict_AIM_DAY_GROUNDBATTLE_01.jpg,AI Generated,Real,2,3,5,false,7,"### Analysis

#### Semantic Coherence
The image depicts a scene with soldiers engaged in what appear..."
107,InternVL 3.5 8B,MilitaryConflict_AIM_DAY_URBANDAMAGE_01.jpg,AI Generated,Real,1,4,5,false,8,"Upon analyzing the image provided, here are my observations:

1. **Semantic Coherence**: The scene d..."
108,InternVL 3.5 8B,MilitaryConflict_AIM_NIGHT_AIRSTRIKE_01.jpg,AI Generated,AI Generated,5,0,5,true,8,"### Analysis

#### Semantic Coherence
The image depicts a skyscraper engulfed in flames with an expl..."
109,InternVL 3.5 8B,MilitaryConflict_AIM_NIGHT_CONVOY_01.jpg,AI Generated,Real,1,4,5,false,5,"To assess the image for authenticity and determine if it is more likely real, manipulated, or AI-gen..."
110,InternVL 3.5 8B,MilitaryConflict_AIM_NIGHT_GROUNDBATTLE_01.jpg,AI Generated,AI Generated,5,0,5,true,8,"To assess the media provided, we'll analyze several factors:

1. **Semantic Coherence**: The scene d..."
111,InternVL 3.5 8B,MilitaryConflict_AIM_NIGHT_URBANDAMAGE_01.jpg,AI Generated,Real,2,3,5,false,3,"Upon examining the image, here are the observations:

1. **Semantic Coherence**:
   - The scene depi..."
112,InternVL 3.5 8B,MilitaryConflict_REAL_DAY_AIRSTRIKE_01.jpg,Real,AI Generated,4,1,5,false,7,"To assess whether this image is more likely to be real, manipulated, or AI-generated, let's examine ..."
113,InternVL 3.5 8B,MilitaryConflict_REAL_DAY_CONVOY_01.jpg,Real,Real,2,3,5,true,2,"To assess this image comprehensively, let's break down the analysis into several key factors:

### S..."
114,InternVL 3.5 8B,MilitaryConflict_REAL_DAY_GROUNDBATTLE_01.jpg,Real,AI Generated,4,1,5,false,5,"To assess the media in question, we'll analyze several factors:

### Semantic Coherence
The image de..."
115,InternVL 3.5 8B,MilitaryConflict_REAL_DAY_URBANDAMAGE_01.jpg,Real,Real,1,4,5,true,3,"To assess the likelihood that this image is real, manipulated, or AI-generated, let's analyze it bas..."
116,InternVL 3.5 8B,MilitaryConflict_REAL_NIGHT_AIRSTRIKE_01.jpg,Real,Real,0,5,5,true,2,"### Analysis:

1. **Semantic Coherence**:
   - The image depicts an explosion with a large fireball ..."
117,InternVL 3.5 8B,MilitaryConflict_REAL_NIGHT_CONVOY_01.jpg,Real,Real,2,3,5,true,2,"Upon analyzing the image provided, let's break down the factors:

1. **Semantic Coherence**:
   - Th..."
118,InternVL 3.5 8B,MilitaryConflict_REAL_NIGHT_GROUNDBATTLE_01.jpg,Real,Real,1,4,5,true,2,"To assess the image provided, let's analyze it based on the factors given:

1. **Semantic Coherence*..."
119,InternVL 3.5 8B,MilitaryConflict_REAL_NIGHT_URBANDAMAGE_01.jpg,Real,AI Generated,5,0,5,false,8,"Upon examining the image provided, several factors come into play when determining whether it is rea..."
120,InternVL 3.5 8B,MilitaryShowcase_AIG_DAY_LIVEFIRE_01.jpg,AI Generated,AI Generated,3,2,5,true,2,"Upon analyzing the image provided, I can offer insights into its likelihood of being real, manipulat..."
121,InternVL 3.5 8B,MilitaryShowcase_AIG_DAY_MARCHING_01.jpg,AI Generated,AI Generated,5,0,5,true,8,"### Analysis

#### Semantic Coherence
The image depicts a military parade with soldiers in uniform m..."
122,InternVL 3.5 8B,MilitaryShowcase_AIG_DAY_NAVIGATION_01.jpg,AI Generated,Real,0,5,5,false,2,"To assess the image provided, let's analyze several factors:

1. **Semantic Coherence**: The scene d..."
123,InternVL 3.5 8B,MilitaryShowcase_AIG_DAY_PARADE_01.jpg,AI Generated,AI Generated,4,1,5,true,6,"To assess this image, let's break down the factors that might indicate whether it is real, manipulat..."
124,InternVL 3.5 8B,MilitaryShowcase_AIG_NIGHT_LIVEFIRE_01.jpg,AI Generated,Real,1,4,5,false,3,"Upon examining the provided image, several aspects should be considered to determine its authenticit..."
125,InternVL 3.5 8B,MilitaryShowcase_AIG_NIGHT_MARCHING_01.jpg,AI Generated,AI Generated,5,0,5,true,7,"To assess whether the image is more likely to be real, manipulated, or AI-generated, let's examine s..."
126,InternVL 3.5 8B,MilitaryShowcase_AIG_NIGHT_NAVIGATION_01.jpg,AI Generated,AI Generated,4,1,5,true,2,"To assess the image:

1. **Semantic Coherence**:
   - The scene depicts three soldiers in a forest s..."
127,InternVL 3.5 8B,MilitaryShowcase_AIG_NIGHT_PARADE_01.jpg,AI Generated,AI Generated,5,0,5,true,7,"To assess the likelihood that this image is real, manipulated, or AI-generated, we can analyze vario..."
128,InternVL 3.5 8B,MilitaryShowcase_AIM_DAY_LIVEFIRE_01.jpg,AI Generated,AI Generated,5,0,5,true,8,"Upon analyzing the given image for semantic coherence, lighting, textures, and any signs of digital ..."
129,InternVL 3.5 8B,MilitaryShowcase_AIM_DAY_MARCHING_01.jpg,AI Generated,Real,2,3,5,false,7,"To assess the likelihood that this image is real, manipulated, or AI-generated, let's analyze it bas..."
130,InternVL 3.5 8B,MilitaryShowcase_AIM_DAY_NAVIGATION_01.jpg,AI Generated,Real,0,5,5,false,2,"Upon analyzing the image provided:

1. **Semantic Coherence**: The scene seems coherent with soldier..."
131,InternVL 3.5 8B,MilitaryShowcase_AIM_DAY_PARADE_01.jpg,AI Generated,Real,2,3,5,false,8,"### Analysis

#### Semantic Coherence
The scene appears to be a military parade with numerous rows o..."
132,InternVL 3.5 8B,MilitaryShowcase_AIM_NIGHT_LIVEFIRE_01.jpg,AI Generated,Real,1,4,5,false,4,"To assess the media for authenticity, let's analyze it based on several factors:

1. **Semantic Cohe..."
133,InternVL 3.5 8B,MilitaryShowcase_AIM_NIGHT_MARCHING_01.jpg,AI Generated,AI Generated,5,0,5,true,6,"Upon analyzing the image, several factors come into play when determining whether this scene is real..."
134,InternVL 3.5 8B,MilitaryShowcase_AIM_NIGHT_NAVIGATION_01.jpg,AI Generated,Real,1,4,5,false,3,"Upon analyzing the image, several factors need to be considered to assess its authenticity:

1. **Se..."
135,InternVL 3.5 8B,MilitaryShowcase_AIM_NIGHT_PARADE_01.jpg,AI Generated,AI Generated,5,0,5,true,7,"To determine the authenticity of this media, let's analyze several factors:

1. **Semantic Coherence..."
136,InternVL 3.5 8B,MilitaryShowcase_REAL_DAY_LIVEFIRE_01.jpg,Real,AI Generated,3,2,5,false,3,"To assess this image:

1. **Semantic Coherence**: The scene shows a missile launcher firing a missil..."
137,InternVL 3.5 8B,MilitaryShowcase_REAL_DAY_MARCHING_01.jpg,Real,AI Generated,3,2,5,false,4,"To assess the media and estimate whether it is more likely to be real, manipulated, or AI-generated,..."
138,InternVL 3.5 8B,MilitaryShowcase_REAL_DAY_NAVIGATION_01.jpg,Real,Real,0,5,5,true,2,"### Analysis:

#### Semantic Coherence
The image depicts military personnel in a training environmen..."
139,InternVL 3.5 8B,MilitaryShowcase_REAL_DAY_PARADE_01.jpg,Real,Real,0,5,5,true,3,"Upon examining the image, let's analyze various factors:

1. **Semantic Coherence**:
   - The scene ..."
